     district      |       block        |          cluster          | klpid |                        institution                         
 raichur           | devadurga          | kottadoddi                | 23647 | GLPS TEGGIHAL
 raichur           | lingasugur         | mediknal                  | 23931 | GLPS CHANNAMANADODDI
 raichur           | lingasugur         | talekhan                  | 23932 | GLPS WENNAPPANA TANDA(WEGAPUR)
 raichur           | manvi              | pothnal                   | 24206 | GLPS JANTA COLONY POTHANAL
 raichur           | manvi              | sangapur                  | 24181 | GLPS MALLIGIMADU
 raichur           | sindhanur          | gunda                     | 24607 | GHPS GUDIHAL
 raichur           | sindhanur          | hosahalli ej              | 24754 | GHPS SRIPURAM JUNCTION
 bijapur           | chadachan          | chadachan                 | 29336 | GOVT LPS HATTALLI HK
 bijapur           | bijapur city       | k.b.s no.04 bijapur city  | 29411 | GOVT KGMPS NO 1
 chamarajanagara   | kollegala          | kollegal-1                |  6875 | GLPS BENDARAHALLI
 bijapur           | bijapur city       | k.b.s no.04 bijapur city  | 29413 | GOVT. KBMPS NO. 7 SHAHAPET
 kolar             | srinivasapur       | yeldur                    | 18315 | GLPS BEERAGANAHALLI
 chikkaballapura   | bagepally          | palyakere                 | 10506 | GULP S PALYAKERE
 chikkaballapura   | bagepally          | palyakere                 | 10495 | GLPS DIGAVANETTAKUNTLAPALLI
 chikkaballapura   | bagepally          | bagepally rural           | 10528 | GLPS POOLAVARIPALLI
 chikkaballapura   | chikkaballapur     | nandi                     | 10539 | GLPS DINNUR
 chikkaballapura   | gowribidanur       | hosur                     | 11268 | GLPS YERRAPOTHENAHALLI
 chikkaballapura   | chikkaballapur     | mandikal                  | 10576 | GLPS KACHAKADATHA
 chikkaballapura   | chikkaballapur     | srirampura                | 10763 | GLPS CHOKKANAHALLI
 chikkaballapura   | chikkaballapur     | srirampura                | 10773 | GLPS SRIRAMAPURA
 chikkaballapura   | chintamani         | kaiwara                   | 10793 | GLPS MASTENAHALLI
 kolar             | malur              | kondashettihalli (urdu-2) | 17591 | GULPS HUNGENAHALLI
 kolar             | kolar              | muduvatti                 | 17337 | GLPS LAKSHMIPURA
 kolar             | kolar              | muduvadi                  | 17428 | GLPS JANNAPPANAHALLI
 kolar             | malur              | banahalli                 | 17621 | GLPS KOTHUR
 chikkaballapura   | gowribidanur       | urdu-1(south)             | 11469 | GULP S THONDEBAVI RAILWAYA STAT
 chitradurga       | chitradurga        | madakaripura              | 12022 | GLPS H M AK HATTI
 kolar             | srinivasapur       | yeldur                    | 18323 | GLPS KATHIBISANAHALLI
 kolar             | srinivasapur       | yeldur                    | 18318 | GLPS GOTTIKUNTE
 bijapur           | bijapur  rural     | shivanagi urdu            | 28109 | GOVT UBLPS TIDAGUNDI
 bijapur           | bijapur  rural     | baratagi                  | 28113 | GOVT LPS ALIYABAD LT 2
 bijapur           | bijapur  rural     | baratagi                  | 28121 | GOVT LPS BARATGI LT 2 A
 bijapur           | bijapur  rural     | baratagi                  | 28123 | GOVT LPS BARATGI LT 4
 chikkaballapura   | sidlaghatta        | sidlaghatta               | 11867 | GULP S THAYABA NAGAR
 gulbarga          | gulbarga south     | m s k mill gulbarga       | 14509 | GOVT LPS URDU SAVALAGI(B)
 chikkaballapura   | sidlaghatta        | sidlaghatta               | 11864 | GLPS SONNENAHALLI
 chikkaballapura   | sidlaghatta        | sidlaghatta               | 11861 | GLPS IDDALODU
 kolar             | srinivasapur       | yeldur                    | 18312 | GLPS MAHAMADPURA
 chikkaballapura   | gowribidanur       | d palya                   | 11424 | GLPS CHEELAMANAHALLI
 chikkaballapura   | gowribidanur       | d palya                   | 11427 | GLPS GOLLARA COLONY
 bijapur           | sindagi            | kondaguli                 | 29131 | GOVT MPS KONDAGULI
 chikkaballapura   | gowribidanur       | hosur                     | 11251 | GMHP S HOSSUR
 chikkaballapura   | chintamani         | buragamakalahalli         | 10857 | GMHP S KAGATHI
 bijapur           | bijapur  rural     | babaleshwar               | 28017 | GOVT MPS BABALESHWAR
 bijapur           | bijapur  rural     | babaleshwar               | 28026 | GOVT MPS SARAWAD
 bijapur           | sindagi            | golageri                  | 29081 | GOVT MPKBS GOLAGERI 
 bijapur           | basavan  bagewadi  | h hipparagi               | 27772 | GOVT MPS HUVINAHIPPARAGI
 bijapur           | indi               | tamba                     | 28514 | GOVT MLA KGMPS TAMBA
 bijapur           | bijapur city       | k.b.s no.04 bijapur city  | 29415 | GOVT MPS NO 4 BIJAPUR(NEW)
 bijapur           | muddebihal         | talikoti                  | 28734 | GOVT MPS TALIKOTI
 bijapur           | bijapur city       | k.b.s no.04 bijapur city  | 29421 | GOVT KBMPS NO 1
 bijapur           | bijapur city       | k.b.s no 24 khb colony    | 29479 | GOVT KBMPS NO 31
 bijapur           | muddebihal         | muddebihal                | 28788 | GOVT UBMPS MUDDEBIHAL
 bijapur           | bijapur city       | k.b.s no 24 khb colony    | 29469 | GOVT MPS NO 24 BIJAPUR
 bijapur           | sindagi            | sindagi(urdu)             | 29052 | GOVT UBMPS SINDAGI
 koppal            | kustagi            | koradakera                | 20329 | GLPS BISNHAL
 bijapur           | bijapur  rural     | baratagi                  | 28114 | GOVT LPS ALIYABAD G H
 chikkaballapura   | chikkaballapur     | chikkaballapur            | 10679 | GUMH PBS B B ROAD
 chamarajanagara   | yelandur           | maddur                    |  6912 | GPBS K.HOSUR
 chikkaballapura   | chikkaballapur     | chikkaballapur            | 10673 | GUHP GIRLS SCHOOL, MASQUE ROAD
 bijapur           | bijapur city       | k.b.s no 17 allapur lt    | 29486 | GOVT KBMPS YOGAPUR BIJAPUR 39
 gulbarga          | gulbarga south     | khanadal                  | 14519 | GHPS KHANDAL TANDA
 gulbarga          | aland              | aland south urdu          | 13715 | GOVT HPS RAJAWAL (URDU)
 gulbarga          | chittapur          | bhankur                   | 14210 | GOVT LPS YARGAL TANDA
 gulbarga          | chittapur          | shahabad                  | 14369 | GOVT GIRLS MPS SHAHABAD
 gulbarga          | gulbarga north     | dongargaon                | 14857 | GOVT MPS DONGARGAON
 gulbarga          | gulbarga north     | harsoor                   | 14867 | GOVT MPS HARSOOR
 gulbarga          | gulbarga south     | bheemalli                 | 14505 | GOVT HPS KERI BHOSAGA
 gulbarga          | gulbarga south     | bheemalli                 | 14510 | GOVT MPS SAVALAGI(B)
 gulbarga          | gulbarga south     | bheemalli                 | 14511 | GOVT LPS STN.SAVALGI (B)
 gulbarga          | gulbarga south     | hagargundagi              | 14500 | GOVT HPS KAWALAGA
 gulbarga          | gulbarga south     | m s k mill gulbarga       | 14507 | GOVT LPS URDU PATTAN
 gulbarga          | gulbarga south     | m s k mill gulbarga       | 14569 | GOVT MPS MSK MILL GLB
 raichur           | lingasugur         | nagalapur                 | 23845 | GHPS CHATRA
 raichur           | raichur            | chicksugur                | 24299 | GHPS WADLOOR
 yadagiri          | yadgir             | yadgir station            | 25782 | GOVT MPS STN.BZR YADGIR
 bijapur           | chadachan          | chadachan                 | 29322 | GOVT KBMPS CHADACHAN
 bijapur           | chadachan          | horti                     | 29261 | GOVT KBMPS HORTI
 bijapur           | bijapur  rural     | babanagar                 | 28034 | GPLS BASTI BHAVI VASTI BABANAGAR
 bijapur           | bijapur city       | k.b.s no 24 khb colony    | 29482 | KBS NO 5 BIJAPUR
 bijapur           | bijapur city       | k.b.s no.04 bijapur city  | 29412 | GOVT KGMPS NO 8
 bijapur           | basavan  bagewadi  | telagi                    | 27940 | KGS MASUTI
 bijapur           | chadachan          | halasangi                 | 29224 | GOVT KBMPS HALASANGI
 bijapur           | basavan  bagewadi  | ingaleshwar               | 27792 | GOVT MPS INGALESHWAR
 bijapur           | bijapur  rural     | tikota                    | 28323 | GOVT MPS TIKOTA
 bijapur           | chadachan          | loni                      | 29307 | GOVT KBMPS HIRE LONI
 chikkaballapura   | chikkaballapur     | nandi                     | 10551 | GMHP S MYLAPPANAHALLI
 bijapur           | muddebihal         | muddebihal                | 28786 | GOVT KGMPS MUDDEBIHAL 
 bijapur           | muddebihal         | nalatawad                 | 28807 | GOVT KGMPS NALATAWAD 
 bijapur           | muddebihal         | tangadagi                 | 28836 | GOVT MPS KOLUR
 bijapur           | bijapur  rural     | shivanagi                 | 28306 | GOVT MPS KAGGOD
 bijapur           | bijapur city       | k.b.s no 17 allapur lt    | 29485 | GOVT KGMPS NO 3
 bijapur           | indi               | indi (urdu)               | 28418 | GOVT UBMPS INDI
 bijapur           | sindagi            | devar hipparagi i urdu    | 29024 | GOVT UB MPS DEVARHIPPARGI
 bijapur           | indi               | tamba                     | 28506 | GOVT KBMPS TAMBA
 bijapur           | chadachan          | baradol                   | 29333 | GOVT LPS D NIMBARGI HK
 bijapur           | bijapur city       | kbs no. 26 jalanagar      | 29440 | GOVT LPS NO.42 S.R.COLONY BIJAPUR
 chamarajanagara   | hanur              | kowdalli                  |  7046 | GLPS DODDALATHUR
 chitradurga       | chitradurga        | godabanal                 | 11997 | GLPS new NAYAKARA SOLLAPURA
 chitradurga       | hiriyur            | hiriyur north             | 12613 | GLPS ASHRAYA BADAVANE K.M KOTTIGE
 chikkaballapura   | bagepally          | chakavelu                 | 10266 | GMHPS CHAKAVELU
 bijapur           | chadachan          | halasangi                 | 29225 | GOVT KGS HALASANGI
 kolar             | srinivasapur       | yeldur                    | 18311 | GHPS ACHAMPALLI
 chikkaballapura   | sidlaghatta        | sidlaghatta               | 11881 | GMHP S ULLURPET
 bijapur           | basavan  bagewadi  | kolhar                    | 27842 | GOVT KBS CHOUDRI TOTA KOLHAR
 bijapur           | bijapur city       | ubmps no 01 dawalat koti  | 29521 | UBS YOGAPUR NO 27
 bijapur           | indi               | chikkabevanur             | 28461 | LPB BIRAPPANAGAR, CHI BEVANUR
 bijapur           | bijapur city       | ubmps no 01 dawalat koti  | 29518 | GOVT UBS 23 HAMAL COLONY BJ
 bijapur           | bijapur city       | ubmps no 01 dawalat koti  | 29523 | GOVT U.B.S. NO 19 BIJAPUR
 bijapur           | bijapur city       | ubmps no 01 dawalat koti  | 29510 | GOVT UBS BURKAPAROSH BIJAPUR
 bijapur           | bijapur city       | ubmps no 01 dawalat koti  | 29514 | GOVT UBS NO 14 BIJAPUR
 bijapur           | muddebihal         | muddebihal                | 28772 | GOVT UBS BIDARAKUNDI
 chikkaballapura   | chintamani         | buradagunte               | 10982 | GKPS ANAPALLI
 bijapur           | muddebihal         | muddebihal                | 28780 | GOVT UBS KUNTOJI
 bijapur           | bijapur  rural     | arakeri                   | 27992 | KGBV ARAKERI
 bijapur           | muddebihal         | muddebihal                | 28787 | GOVT KGS NO 2 MUDDEBIHAL
 kolar             | srinivasapur       | rayalpadu                 | 18309 | GHPS YARRAMVARIPALLI
 bijapur           | indi               | nad kd                    | 28532 | GOVT KGS SHIRASHYAD
 chamarajanagara   | hanur              | martalli                  |  7118 | G.H.P.S, KADABURU
 chikkaballapura   | bagepally          | bagepally                 | 10240 | GMPB S BAGEPALLY
 bijapur           | indi               | lachyan                   | 28494 | KADAMBARWADI MAVINALLI
 bijapur           | chadachan          | nivaragi                  | 29279 | GOVT KGS NIVARGI
 bijapur           | muddebihal         | talikoti                  | 28736 | GOVT KGS TALIKOTI
 chikkaballapura   | chintamani         | iragampalli               | 11109 | KGBV IRAGAMPALLI
 bijapur           | bijapur  rural     | shivanagi urdu            | 28095 | GOVT UBS HITTANAHALLI
 bijapur           | bijapur city       | k.b.s no 17 allapur lt    | 29493 | GOVT KBS NO 17 BIJAPUR
 bijapur           | chadachan          | chadachan(urdu)           | 29407 | UBS UMARAJ
 chitradurga       | challakere         | hirehalli                 | 12276 | HPS BANJIGERE
 chamarajanagara   | yelandur           | agara                     |  6935 | GUHPGS MAMBALLI
 chamarajanagara   | yelandur           | yelandur                  |  6929 | GHPBS YELANDUR
 bijapur           | sindagi            | sindagi(urdu)             | 29027 | GOVT UBS GOLAGERI 
 bijapur           | basavan  bagewadi  | basavana bagewadi         | 27977 | GOVT KGBV SCHOOL B BAGEWADI
 chikkaballapura   | chikkaballapur     | chikkaballapur            | 10676 | GUHP S KANDAVARAPET
 chitradurga       | hiriyur            | aranakatte                | 12718 | G H P S SHIVAPURA (new school)
 chitradurga       | molakalmur         | konasagara                | 13410 | G.L.P.S.ANIMEGALAHATTI(new.
 chikkaballapura   | sidlaghatta        | dibburahalli              | 11653 | GHPS BYAPPANAHALLI
 kolar             | srinivasapur       | rayalpadu                 | 18298 | GHPS KOTEPALLI
 gulbarga          | aland              | aland north               | 13530 | GOVT HPS SULTANPUR GALLI ALAND
 gulbarga          | aland              | aland north               | 13535 | GOVT GIRLS HPS (K) ALAND
 gulbarga          | aland              | aland north               | 13529 | GOVT HPS HATYANAGALLI ALAND
 gulbarga          | aland              | aland south               | 13533 | GOVT B.V. HPS ALAND
 gulbarga          | aland              | chinchansoor              | 13560 | GOVT MPS CHINCHANSOOR (K)
 gulbarga          | aland              | chinchansoor              | 13562 | GOVT LPS HARIJANWADA CHINCHANS
 gulbarga          | aland              | kadaganchi                | 13546 | GOVT HPS GOLA (B)
 gulbarga          | aland              | kadaganchi                | 13551 | GOVT HPS HOSAWADI
 gulbarga          | aland              | kadaganchi                | 13555 | GOVT HPS SUNTANOOR
 gulbarga          | aland              | kadaganchi                | 13558 | GOVT HPS VAIJAPUR
 gulbarga          | aland              | mataki                    | 13572 | GOVT HPS CHITALI
 gulbarga          | gulbarga north     | shahabazar                | 14975 | GOVT MPS (BOY) SHAHABAZAR
 raichur           | devadurga          | jalahalli                 | 23573 | GHPS GIRLS JALAHALLI
 raichur           | sindhanur          | bappur                    | 24563 | GHPS GUDAGALADINNI
 yadagiri          | shorapur           | kembhavi                  | 25143 | MPS KEMBHAVI
 yadagiri          | yadgir             | putpak                    | 25649 | GOVT MPS CHANDARKI
 kolar             | kolar              | darga (urdu-2)            | 17222 | GUHPBS OLD KOLAR
 kolar             | srinivasapur       | srinivaspur               | 18281 | GMHPS THYAGARAJA EXTN.
 kolar             | bangarapete        | t.gollahalli              | 17043 | GHPS BANDAMAKANAHALLI
 chitradurga       | molakalmur         | konasagara                | 13405 | G.L.P.S.GONCHIGARAPALAIANAHATTI(new
 bijapur           | chadachan          | chadachan(urdu)           | 29399 | GOVT UBS HAVINAL
 bijapur           | sindagi            | moratagi                  | 29166 | GOVT KGS KAKKALMELI
 bijapur           | basavan  bagewadi  | mulawad                   | 27869 | KBHS CHIKKA ASANGI
 chikkaballapura   | chintamani         | yagavakote                | 10832 | GHPS M GOLLAHALLI
 chikkaballapura   | chintamani         | yagavakote                | 10827 | GHPS KOTHAHUDYA
 kolar             | srinivasapur       | rayalpadu                 | 18295 | GHPS KADIRAMPALLI
 kolar             | srinivasapur       | rayalpadu                 | 18293 | GHPS JINKALAVARIPALLI
 chitradurga       | challakere         | talaku                    | 12277 | HPS KEREYAAGALAHALLY
 chitradurga       | challakere         | hirehalli                 | 12275 | HPS BEDAREDDYHALLY
 chitradurga       | challakere         | hirehalli                 | 12274 | HPS CHIKKAHALLY
 chitradurga       | challakere         | hirehalli                 | 12273 | HPS PALANAYAKANAKOTE
 chitradurga       | challakere         | hirehalli                 | 12268 | HPS JAMBAIAHNAHATTY
 chikkaballapura   | gowribidanur       | nagaragere                | 11303 | GHPS CHOLASETTIHALLI
 chikkaballapura   | gowribidanur       | manchenahalli             | 11301 | GHPS VARAVANI
 chikkaballapura   | gowribidanur       | manchenahalli             | 11300 | GHPS UPPARAHALLI
 chikkaballapura   | gowribidanur       | manchenahalli             | 11299 | GHPS SADENAHALLI
 chikkaballapura   | gowribidanur       | manchenahalli             | 11291 | GHPS MINAKANAGURKI
 chikkaballapura   | sidlaghatta        | sadali                    | 11646 | GHPS SONAGANAHALLI
 bijapur           | chadachan          | horti urdu                | 29396 | GOVT UBS HALASANGI
 chikkaballapura   | bagepally          | urdu                      | 10294 | GUHPS CHELUR
 chikkaballapura   | sidlaghatta        | sadali                    | 11643 | GHPS S.GUNDLAHALLI
 chikkaballapura   | gudibanda          | gudibande                 | 11629 | GHPS GIRLS GUDIBANDA
 bijapur           | sindagi            | rampur pa                 | 28974 | GOVT HPS KALAHALLI
 kolar             | bangarapete        | gajaga                    | 17036 | GHPS PARAVANAHALLI
 kolar             | bangarapete        | gajaga                    | 17030 | GHPS MAGONDI
 kolar             | bangarapete        | gajaga                    | 17029 | GHPS KADIRENAHALLI
 kolar             | bangarapete        | gajaga                    | 17019 | GHPS GAJAGA
 kolar             | bangarapete        | hudukula                  | 17009 | GHPS VATTRAKUNTE
 kolar             | bangarapete        | hudukula                  | 16996 | GHPS HUDUKULA
 kolar             | srinivasapur       | rayalpadu                 | 18285 | GHPS BALTAMARI
 kolar             | srinivasapur       | srinivaspur               | 18279 | GMHPS SAROJINI RD. S.V. PUR
 kolar             | srinivasapur       | srinivaspur               | 18278 | GHPS RANGAROAD S. V. PUR
 kolar             | srinivasapur       | dalasanur                 | 18272 | GHPS THERNAHALLI
 kolar             | srinivasapur       | dalasanur                 | 18268 | GHPS KUPPAHALLI
 kolar             | srinivasapur       | dalasanur                 | 18266 | GHPS KODICHERAVU
 kolar             | srinivasapur       | dalasanur                 | 18261 | GHPS GUMMAREDDIPURA
 bijapur           | sindagi            | rampur pa                 | 28951 | GOVT HP KBS BABALESHWAR
 kolar             | k g f              | robertsonpet              | 16983 | GHPS ROBERTSONPET
 kolar             | k g f              | robertsonpet              | 16985 | GHPS SWARNA NAGAR
 kolar             | k g f              | robertsonpet              | 16984 | GHPS (GIRLS) ROBERTSONPET
 gulbarga          | aland              | aland north               | 13526 | GOVT HPS ALAND (K)
 gulbarga          | aland              | aland south urdu          | 13578 | GOVT HPS MATAKI (U)
 gulbarga          | aland              | bhusanoor                 | 13695 | GOVT HPS BHUSANOOR
 gulbarga          | aland              | bhusanoor                 | 13701 | GOVT HPS DEVANTHI
 gulbarga          | aland              | duttargaon                | 13586 | GOVT HPS DANNUR
 gulbarga          | aland              | duttargaon                | 13588 | GOVT HPS DUTTARGAON
 gulbarga          | aland              | khajuri                   | 13576 | GOVT HPS KOTANHIPPARGA
 gulbarga          | aland              | mataki                    | 13575 | GOVT HPS KINNI SULTAN
 gulbarga          | aland              | mataki                    | 13584 | GOVT HPS TELAKUNI
 gulbarga          | aland              | narona                    | 13680 | GOVT HPS BODHAN
 gulbarga          | aland              | narona                    | 13684 | GOVT HPS KAUTA (KAMALANAGAR )
 gulbarga          | gulbarga north     | asif gunj                 | 14972 | GOVT HPS AYYARWADI
 gulbarga          | jewargi            | ijeri                     | 14727 | GOVT HPS GUGIHAL
 gulbarga          | jewargi            | ijeri                     | 14729 | GOVT HPS IJERI
 gulbarga          | jewargi            | ijeri                     | 14737 | GOVT HPS LAKHANAPUR
 gulbarga          | jewargi            | kolakur                   | 14743 | GOVT HPS BANAMI
 gulbarga          | jewargi            | kolakur                   | 14744 | GOVT HPS GOUNAHALLI
 koppal            | koppal             | kinnal(bhagyanagar)       | 19948 | GMHPS KSMS KINNAL
 raichur           | raichur            | raichur central           | 24369 | GMHPS MANGALAWARPET
 raichur           | raichur            | raichur central           | 24374 | GHPS THIMMAPURPET
 raichur           | raichur            | raichur urdu2             | 24383 | GHPS URDU POLICE COLONY
 yadagiri          | shahapur           | halisagar (south)         | 25005 | GHPS GUTTIPETH SHAHAPUR
 yadagiri          | yadgir             | yadgir station            | 25791 | GOVT HPS URDU STN. BAZAR YADGI
 kolar             | k g f              | kgf urdu                  | 16974 | GUHPS OORGAMPET
 kolar             | k g f              | b.e.m.l nagar             | 16981 | GHPS (TAMIL) GOLDEN HILLS
 kolar             | k g f              | b.e.m.l nagar             | 16977 | GHPS (TAMIL) N T BLOCK
 kolar             | k g f              | b.e.m.l nagar             | 16975 | GHPS (TAMIL) S T BLOCK
 kolar             | k g f              | b.e.m.l nagar             | 16966 | GMHPS (ENGLISH) BEML NAGAR
 kolar             | k g f              | b.e.m.l nagar             | 16964 | GMHPS KEB COLONY
 kolar             | k g f              | oorgaumpet                | 16971 | GHPS N D MINES
 kolar             | k g f              | oorgaumpet                | 16976 | GHPS (TAMIL) KENNEDYS LINE
 kolar             | k g f              | oorgaumpet                | 16972 | GMHPS OORGAMPET
 kolar             | mulbagal           | thimmaravuthanahalli      | 18092 | GHPS PULIPAPENAHALLI
 kolar             | mulbagal           | balla                     | 18063 | GHPS S CHADUMANAHALLI
 chikkaballapura   | gudibanda          | gudibande                 | 11623 | GHPS ULLODU
 chikkaballapura   | gudibanda          | hampasandra               | 11602 | GHPS NULUGUMBA
 chikkaballapura   | sidlaghatta        | cheemangala               | 11821 | GHPS THIPPENAHALLI
 chikkaballapura   | sidlaghatta        | cheemangala               | 11812 | GHPS KALINAYAKANAHALLI
 chikkaballapura   | sidlaghatta        | cheemangala               | 11805 | GHPS CHEEMANGALA
 chikkaballapura   | sidlaghatta        | ablodu                    | 11795 | GHPS SETTIHALLI
 chikkaballapura   | sidlaghatta        | ablodu                    | 11793 | GHPS PALICHERLU
 chikkaballapura   | sidlaghatta        | ablodu                    | 11786 | GHPS GUDIHALLI
 chikkaballapura   | sidlaghatta        | ablodu                    | 11780 | HPS ABBALODU
 chikkaballapura   | sidlaghatta        | y.hunasenahalli           | 11777 | GHPS SEEGEHALLI
 chikkaballapura   | sidlaghatta        | y.hunasenahalli           | 11774 | GHPS KUPPENAHALLI
 chikkaballapura   | sidlaghatta        | y.hunasenahalli           | 11773 | GHPS KUNDLAGURKI
 chikkaballapura   | sidlaghatta        | y.hunasenahalli           | 11772 | GHPS KOTHANUR
 chitradurga       | molakalmur         | tammenahalli              | 13524 | GHPS KARADIHALLI
 chitradurga       | molakalmur         | tammenahalli              | 13516 | GHPS B.D.HALLI
 chitradurga       | hiriyur            | imangala                  | 12794 | HPS PALAVVANAHALLI
 chitradurga       | molakalmur         | tammenahalli              | 13515 | GHPS THAMMENAHALLI
 chitradurga       | holalkere          | b.durga                   | 13013 | HPS GURUJIGANUR
 kolar             | kolar              | narasapura                | 17405 | GHPS RAMASANDRA
 bijapur           | muddebihal         | talikoti urdu             | 28738 | GOVT UGS TALIKOTI
 bijapur           | sindagi            | mulasavalagi              | 28970 | GOVT HPS HACHYAL 
 kolar             | mulbagal           | pitchaguntlahalli         | 18089 | GHPS NAGAMANGALA
 kolar             | mulbagal           | angondahalli              | 18061 | GHPS REDDIHALLI
 kolar             | mulbagal           | padmaghatta (urdu-2)      | 18101 | GUHPS AGARA
 kolar             | mulbagal           | mulbagal (urdu-1)         | 17954 | GUMHPS JAHANGEER MOHALLA
 chamarajanagara   | gundlupet          | chikkathuppuru            |  6639 | GLPS KANDEGALA
 chitradurga       | holalkere          | b.durga                   | 13011 | HPS HIREKANDAVADI
 kolar             | malur              | kudiyanur                 | 17819 | GHPS KUDIYANUR
 chikkaballapura   | chintamani         | muragamalla               | 11090 | GHPS NANDIGANAHALLI
 chikkaballapura   | chintamani         | anoor                     | 11065 | GHPS KODADAVADI
 gulbarga          | aland              | aland north urdu          | 13527 | GOVT HPS ALAND (U)
 gulbarga          | aland              | narona                    | 13679 | GOVT HPS BILAGUNDA
 gulbarga          | chincholi          | chincholi urdu            | 13950 | GOVT HPS URDU AINOLI
 gulbarga          | gulbarga north     | adarsha nagar urdu        | 14966 | GOVT HPS MAHIBOOBNAGAR GLB
 gulbarga          | gulbarga north     | ankalaga                  | 14938 | GOVT HPS ANKALAGA
 gulbarga          | gulbarga north     | ankalaga                  | 14929 | GOVT HPS KAGGANAMADI
 gulbarga          | gulbarga north     | kamalapur                 | 14926 | GOVT HPS BELKOTA
 gulbarga          | gulbarga north     | kamalapur                 | 14908 | GOVT PR.HPS KAMALAPUR
 gulbarga          | gulbarga north     | khaja colony              | 14965 | GOVT HPS ROZA B GLB(KAN)
 gulbarga          | gulbarga north     | madina colony             | 14977 | GOVT HPS GIRLS SHAIK ROZA
 gulbarga          | gulbarga north     | mahagaon                  | 14931 | GOVT HPS GIRLS MAHAGAON
 gulbarga          | gulbarga north     | mahagaon                  | 14935 | HPS MAHAGAON CROSS
 gulbarga          | gulbarga north     | nagoor                    | 14939 | GOVT HPS HARAKANCHI
 gulbarga          | gulbarga north     | okali                     | 14918 | GOVT HPS OKALI
 gulbarga          | gulbarga north     | okali                     | 14919 | GOVT HPS RAJANAL
 gulbarga          | gulbarga north     | okali                     | 14921 | GOVT HPS VARANAL
 gulbarga          | gulbarga north     | sonth                     | 14952 | GOVT HPS KINNI SARFOS
 gulbarga          | gulbarga north     | sonth                     | 14955 | GOVT HPS MARAGUTTI
 gulbarga          | gulbarga north     | sonth                     | 14956 | GOVT HPS PATAWADA
 gulbarga          | gulbarga south     | hagargundagi              | 14493 | GOVT HPS HERROO(B)
 gulbarga          | gulbarga south     | hagargundagi              | 14495 | GOVT HPS BASAVAPATTAN
 gulbarga          | gulbarga south     | nandikur                  | 14529 | GOVT HPS UDANOOR
 gulbarga          | gulbarga south     | nandikur                  | 14531 | GOVT LPS CENTER JAIL COLONY
 gulbarga          | gulbarga south     | sannur                    | 14537 | GOVT HPS SANNUR
 raichur           | lingasugur         | maski                     | 23806 | GHPS  URDU BOYS MASKI
 raichur           | raichur            | gillesugur                | 24319 | GHPS TUNGABHADRA
 raichur           | raichur            | kalamala                  | 24334 | GMHPS KALMALA
 raichur           | raichur            | kalamala                  | 24345 | GHPS SULTHANAPUR
 raichur           | raichur            | marched                   | 24331 | GHPS HOSAPET
 raichur           | raichur            | marched                   | 24344 | GHPS RAGUNATHANAHALLI
 raichur           | raichur            | matamari                  | 24351 | GHPS DINNI
 raichur           | raichur            | matamari                  | 24352 | GHPS GARALADINNI
 raichur           | raichur            | raichur central           | 24375 | GMHPS ZAHEERABAD RAICHUR
 raichur           | raichur            | raichur east              | 24419 | GMHPS MADDIPET
 raichur           | raichur            | raichur north             | 24426 | GHPS YARAMARS
 raichur           | raichur            | raichur south             | 24372 | GHPS  KEB RAICHUR
 raichur           | raichur            | raichur south             | 24386 | GHPS RAMPUR
 raichur           | raichur            | yaragera                  | 24396 | GMHPS YARAGERA
 raichur           | raichur            | yelebichali               | 24321 | GHPS YELEBICHALI
 raichur           | sindhanur          | gudaduru                  | 24557 | GHPS DEENSAMUDRA
 yadagiri          | shahapur           | halisagar (south)         | 25006 | GHPS HALEPETH
 yadagiri          | yadgir             | hedgimadra                | 25833 | GOVT HPS THANAGUNDA
 yadagiri          | yadgir             | saidapur                  | 25781 | GOVT HPS SAIDAPUR STATION
 chitradurga       | holalkere          | holalkere urdu            | 13091 | GUHPS BOYS
 yadagiri          | yadgir             | yelhera                   | 25805 | GOVT HPS GHANAPUR
 yadagiri          | yadgir             | yergoal                   | 25838 | GOVT HPS YERGOLE
 yadagiri          | yadgir             | madawar                   | 25777 | GOVT HPS WANKASAMBAR
 yadagiri          | yadgir             | yelhera                   | 25812 | GOVT HPS YELAHAR
 kolar             | kolar              | narasapura                | 17402 | GHPS MALLASANDRA
 kolar             | kolar              | narasapura                | 17392 | GHPS CHAKARASANAHALLI
 kolar             | kolar              | narasapura                | 17388 | GHPS BELAMARANAHALLI
 kolar             | kolar              | annihalli (manighatta)    | 17375 | GHPS MANIGATTA
 kolar             | kolar              | annihalli (manighatta)    | 17366 | GHPS ANNIHALLI
 kolar             | kolar              | annihalli (manighatta)    | 17365 | GHPS AGNIHALLI
 kolar             | kolar              | vadagur                   | 17358 | GHPS SEESANDRA
 kolar             | kolar              | vadagur                   | 17355 | GHPS KEMBODI
 chitradurga       | holalkere          | holalkere                 | 13088 | GMHPS SHIVAGANGA
 chitradurga       | holalkere          | talikatte                 | 13080 | HPS SINGENAHALLI
 chitradurga       | holalkere          | talikatte                 | 13078 | HPS THUPPADAHALLI
 chitradurga       | holalkere          | talikatte                 | 13076 | HPS DEVARAHOSAHALLI
 chitradurga       | holalkere          | ramagiri                  | 13069 | HPS BOMMANAHALLI
 chitradurga       | holalkere          | ramagiri                  | 13059 | HPS RAMAGIRI
